"id","url","title","subject","authors","paper_abstract","published_in","language","publisher","year","doi","resulttype","x","y","area_uri","cluster_labels","area","readers","file_hash"
"dedup_wf_001::1a33d30b78f3d5d9a235776579494f75","","Improving Social Practice: Enhancing Learning Experiences with Support for Collaborative Reflection","core;derived;patients","Degeling, Martin, Prilla, Michael","International audience; In this paper we describe collaborative reflection as a core way of informal learning at the workplace. From three case studies we derived reflection on social practice as a good example for learning at the workplace. The way employees talk to third parties like patients or customers was observed to be a major topic in discussions within teams as it triggers the sharing of experiences about cases and fosters building of mutual understanding of common problems. We identified articulation to be a core part for this kind of reflection and derived requirements which were than implemented in a tool to support reflection on this topic focused on a healthcare setting and tested out application to reflect on talks with relatives of patients.","","English","HAL CCSD","2012-09-17","","publication","-0.5083","0.2158","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"dedup_wf_001::2cc51de4176858fd5516558454f69e18","","Computer Support for Collaborative Reflection on Captured Teamwork Data","collaborative knowledge;knowledge construction;team learning","Prilla, Michael, Knipfer, Kristin, Degeling, Martin, Cress, Ulrike, Herrmann, Thomas","International audience; This paper introduces collaborative reflection for the purpose of team learning at the workplace and describes requirements for its computer support. In particular, we identify three processes to be supported and discuss solutions necessary for collaborative knowledge construction and meaning making based on captured teamwork data. This includes support for articulation work, transfer of established scaffolding and guidance concepts to the scope of reflection at the work place, and strategies of convergence for collaborative knowledge construction. Additionally, the paper outlines potential technical solutions embedded into organizational procedures to facilitate collaborative reflection and team learning.","","English","HAL CCSD","2012-09-21","","publication","-0.3341","0.4333","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"dedup_wf_001::4c906d5f545ef156d86a5f90cc2ade4e","","Modes of collaborative reflection","modes collaborative;describe","Degeling, Martin, Prilla, Michael","In this paper, we describe different modes of collaborative reflection as processes of learning at the workplace. We explain why reflection is a decisive means of learning and - based on the modes we describe - how groups of people can be supported in reflection together. For this, we describe how scheduled, concurrent and spontaneous collaborative reflection can be supported by articulation, guidance and synergizing.","","English","HAL CCSD","2011-09-01","","publication","-0.4324","0.3144","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"dedup_wf_001::6bffe1b77fb7c28e150c9a8c1c6cdcac","","Effects of Prompting in Reflective Learning Tools: Findings from Experimental Field, Lab, and Online Studies","experiment;instructions;prompts","Renner, Bettina, Prilla, Michael, Cress, Ulrike, Kimmerle, Joachim","
			Reflective learning is an important type of learning both in formal and informal situations—in school, higher education, at the workplace, and in everyday life. People may benefit from technical support for reflective learning, in particular when supporting each other by reflecting not only upon their own but also upon other people’s problems. We refer to this collective approach where people come together to think about experiences and find solutions to problems as “collaborative reflection.” We present three empirical studies about the effects of prompting in reflective learning tools in such situations where people reflect on others’ issues. In Study 1 we applied a three-stage within-group design in a field experiment, where 39 participants from two organizations received different types of prompts while they used a reflection app. We found that prompts that invited employees to write down possible solutions led to more comprehensive comments on their colleagues’ experiences. In Study 2 we used a three-stage between-group design in a laboratory experiment, where 78 university students were invited to take part in an experiment about the discussion of problems at work or academic studies in online forums. Here we found that short, abstract prompts showed no superiority to a situation without any prompts with respect to quantity or quality of contributions. Finally, Study 3 featured a two-stage between-group design in an online experiment, where 60 participants received either general reflection instructions or detailed instructions about how to reflect on other people’s problems. We could show that detailed reflection instructions supported people in producing more comprehensive comments that included more general advice. The results demonstrate that to increase activity and to improve quality of comments with prompting tools require detailed instructions and specific wording of the prompts.
			","Frontiers in Psychology","English","Frontiers Media S.A.","2016-05-01","10.3389/fpsyg.2016.00820","publication","-0.548","0.0898","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"dedup_wf_001::c8b3aa1b05e855893b2b16ef0901f555","","Computing technologies for reflective, creative care of people with dementia","carers technologies;reflective creative;achieve widespread","Maiden N., D'Souza S., Jones S., Muller L., Pannese L., Pitts K., Prilla M., Pudney K., Rose M., Turner I.","Digital technologies have much to offer the care for people with dementia. However, their uptake so far has been slow. In this article, we report the introduction of sensor and mobile technologies and applications to support carers of people with dementia in residential homes to be more reflective and creative. Results revealed that carers can and want to use these technologies, but more effective app alignment with different dementia care strategies will be needed to achieve widespread technology take‐up.","Communications of the ACM","English","","2013-01-01","10.1145/2500495","publication","0.2911","-0.2636","1","Dementia care, People with dementia, Older people","Dementia care, People with dementia, Older people","",""
"dedup_wf_001::f9effc8ed3c80d402847d2f070c5c3d4","","Introducing creativity techniques and software apps to the care of people with dementia","techniques software;apps care;dementia poster","Zachos, K., Maiden, N., Karlsen, K., Jones, S., Turner, I., Rose, M., Pudney, K., MacManus, J.","This poster reports research to introduce creative problem solving techniques and software to the care for people with dementia in residential homes.","","English","","2011-01-01","10.1145/2069618.2069718","publication","0.6157","-0.0858","1","Dementia care, People with dementia, Older people","Dementia care, People with dementia, Older people","",""
"ec_fp7_ict__::56c8abb552765bec7e99e19d77f2a8aa","","LIM App: Reflecting on audience feedback for improving presentation skills","app reflecting;audience feedback;feedback improving","Rivera-Pelayo V., Lacic E., Zacharias V., Studer R.","","","","","2013-01-01","10.1007/978-3-642-40814-4_48","publication","-0.36","-0.5579","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::570213fb72cb65ed4e12e5e5c334fa6f","","Pervasive monitoring to support reflective learning","monitoring support;pervasive monitoring","Muller L.","","","","","2013-01-01","10.1145/2494091.2501088","publication","-0.3311","-0.2349","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::61444dd46d66a3294bc39139195115ce","","Motivational and affective aspects in technology enhanced learning: Topics, results and research route","affective aspects;aspects technology;enhanced learning","Holocher-Ertl T., Kunzmann C., Muller L., Rivera-Pelayo V., Schmidt A.P.","","","","","2013-01-01","10.1007/978-3-642-40814-4_39","publication","-0.1147","-0.7007","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::93537c4c4eea4d4fdbf17bbbc41cd506","","Token-based interaction with embedded digital information","based interaction;digital information;embedded digital","Mora S.","","","","","2013-01-01","10.1145/2460625.2460693","publication","0.2319","-0.7479","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::9e2af5e727cf5b010567472af97a0fbc","","Reflective learning in the workplace: The role of emotion","role emotion;workplace role","Krogstie B.R., Divitini M.","","","","","2013-01-01","10.1007/978-3-642-40814-4_78","publication","-0.5743","-0.2829","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::cd66813a5a24705d3a1c70213743a786","","Supporting reflection on dementia care using proximity sensors","care proximity;proximity sensors;reflection dementia","Muller L., Sonnentag M., Heuer S.","","","","","2013-01-01","10.4108/icst.pervasivehealth.2013.251943","publication","-0.012","-0.3351","1","Dementia care, People with dementia, Older people","Dementia care, People with dementia, Older people","",""
"ec_fp7_ict__::dfb034e7bcc591c595471af5e1db62a3","","Computer support for collaborative reflection on captured teamwork data","captured teamwork;reflection captured;teamwork data","#N/D","","","","","2011-01-01","","publication","-0.276","0.5543","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
"ec_fp7_ict__::eafe365bb91b98424481f008e1d3a216","","Individual and collaborative reflection at work: Support for workplace learning in healthcare","learning healthcare;support workplace;work support","#N/D","","","","","2013-01-01","","publication","-0.4637","-0.0713","2","Collaborative reflection, Captured teamwork data, Support for collaborative","Collaborative reflection, Captured teamwork data, Support for collaborative","",""
