"id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","doi","x","y","area_uri","cluster_labels","area","readers","file_hash"
"od______1610::bc703b476aad598d1cf7a03f6cf4ada6","Learning design approaches","Learning design Rashomon i - Supporting the design of one lesson through different approaches","Persico, Donatella","2013","Co-Action Publishing","","","","","This paper presents and compares a variety of approaches that have been developed to guide the decision-making process in learning design. Together with the companion Learning Design Rashomon II (Prieto et al., 2013), devoted to existing tools to support the same process, it aims to provide a view on relevant research results in this field. The common thread followed in these two contributions is inspired by Kurosawa'1s Rashomon film, which takes multiple perspectives on the same action. Similarly, in this paper, Rashomon I, a lesson on “Healthy Eating” is analysed according to five different approaches, while the Rashomon II paper is used to exemplify the affordances of different tools. For this reason, this paper does not follow the conventional structure of research papers (research question, method, results and discussion), but rather it moves from an introduction providing the rationale for the paper, to a description of the five different approaches to learning design (the 4SPPIces Model, the 4Ts, the e-Design Template, the Design Principles Database and the Design Narrative) and then to a discussion of their similarities and differences to inform the choice of potential users.","10.3402/rlt.v21i0.20224.","0.2443","0.1082","3","Learning design rashomon, Supporting the design","Learning design rashomon, Supporting the design","",""
"od______2367::0491f942d2551e5aaf1fbbdde7f0e60d","TEL, researcher capacity, theme teams, incubators","Building researcher capacity through STELLAR Theme Teams & Incubators","Pozzi, Francesca","2010","","","","","","The deliverable illustrates data and figures of the STELLAR First Call for Theme Teams and Incubators.","","-0.7017","-0.1375","2","Incubators, Researcher capacity, Theme teams","Incubators, Researcher capacity, Theme teams","",""
"od______2367::23da2df0ad16376415ea8f644313658a","social networking","Editorial: Social Networking and Mobile Learning","Pachler, Norbert","2012","John Wiley & Sons, Inc","","","","","not available","10.1111/j.1467-8535.2012.01365.x","-0.4371","0.5008","5","Social networking","Social networking","",""
"od______2367::4d961ecc4b9393a8fe070f6aba783e30","stakeholders","Report on community building with Stakeholders","Windrum, Caroline","2011","","","","","","The STELLAR consortium aims to unify the leading institutions and projects in European Technology Enhanced Learning (TEL) in a Network of Excellence (NoE). As part of this, it aims to reduce community fragmentation by bringing together the key stakeholders in European TEL and stimulate ongoing knowledge exchange between them. Work package 5 has stakeholders' capacity building exactly as its focus and it aims to reach out and engage with a variety of stakeholders and to work towards greater coordination, development and implementation of a research agenda that bring benefit to all. This document provides the second annual report of WP5 direct involvement with stakeholders in pursuit of the objectives of the STELLAR NoE. It provides an overview of WP activities and reflects on progress and cooperation with stakeholders across the various tasks that are integral to the operation of the WP (as outlined in the DoW). In so doing, it assesses as to which extent WP5 has progressed in external capacity building during Y2, and defines strategic directions for Y3 towards the achievement of WP objectives as defined in the DoW.","","-0.4354","-0.4662","8","Building with stakeholders, Case study, Community building","Building with stakeholders, Case study, Community building","",""
"od______2367::8652ae0eb853f2a6cf10df630c3b975c","TEL, connecting, orchestrating, contextualising, challanges","Report on the first Rendez-Vous. STELLAR - Del. WP3. D3.1","Hofmann, Lena","2010","","","","","","This is a report on a non&#8208;standard conference called Alpine Rendez&#8208;Vous that has been organized as part of 'Scientific Capacity Building' in the Network of Excellence STELLAR (work package 3) and took place in December 2009 in Garmisch&#8208;Partenkirchen, Germany. Main goals were (a) to identify and advance emerging topics, methodologies and technologies in the field of Technology&#8208;Enhanced Learning (TEL) and (b) to build community within and beyond STELLAR.","","-0.545","-0.2686","9","Challanges, Connecting, Contextualising","Challanges, Connecting, Contextualising","",""
"od______2367::9686eb004a128493e905efecb5702d7a","Game Based Learning, Serious Games","Framing the Adoption of Serious Games in Formal Education","Arnab, Sylvester","2012","Academic Publishing Limited, UK","","","","","Nowadays formal education systems are under increasing pressure to respond and adapt to rapid technological innovation and associated changes in the way we work and live. As well as accommodation of technology in its ever-diversifying forms, there is a fundamental need to enhance learning processes through evolution in pedagogical approaches, so as to make learning in formal education more engaging and, it is hoped, more effective. One opportunity attracting particularly close attention is Serious Games (SG), which offer considerable potential for facilitating both informal and formal learning. SG appear to offer the chance to \"hook\" today's (largely) digital-native generation of young learners, who are at risk of falling into an ever-widening gap between \"networked\" lifestyles and the relative stagnant environment they experience in school and university. However, there are a number of inhibitors preventing wider SG take-up in mainstream education. This paper investigates SG in formal education, initially by concentrating on pedagogical issues from two different but complementary perspectives, game design and game deployment. It then goes on to examine game based practice in formal settings and focuses on the pivotal role of the educator within the emerging panorama. This is followed by a brief look at some specific implementation strategies, collaboration and game building, which are opening up new possibilities. Finally some points for further consideration are offered.","","0.5726","-0.0994","4","Game based learning","Game based learning","",""
"od______2367::cd108a781785f7029ef188ef1caef64d","Technology Enhanced Learning (TEL)","Fare rete per affrontare le sfide della ricerca sul \"Technology Enhanced Learning\"","Bottino, Rosa Maria","2012","AICA, universit? degli studi di Bari","","","","","The paper analyses the case of the Theme Teams, i.e. one of the instruments used by the STELLAR Network of Excellence to contribute to the achievement of its aims, i.e. overcoming the fragmentation of the Technology Enhanced Learning research field and drawing the road map for future research. Qualitative and quantitative data about the way this instrument worked show how even a rather limited budget can be fruitfully used to promote the integration of researchers of different countries, with different backgrounds and approaches and thus overcome the traditional discipline fragmentation.","","-0.2825","0.0527","10","Recommender systems","Recommender systems","",""
"od______2367::f805bf116ce98ff3cf60980b869e3aac","Facebook","Why (and how) do teachers engage in social networks? An exploratory study of professional use of Facebook and its implications for lifelong learning","Ranieri, Maria","2012","John Wiley & Sons, Inc","","","","","To date, little empirical research on professional use of social network sites has been conducted, particularly with reference to groups of teachers on Facebook. The paper presents the results of two surveys addressed to the founders of five Italian Facebook groups and their members (n = 1107), with the aim of investigating mechanisms underlying group membership and reflecting on their implications for professional development. A number of hypotheses were tested in order to explore the nature of three dimensions (domain, network and practice) involved in these groups, assimilated by authors into networks of practice. The study investigated the mechanisms of group membership and their participatory dynamics in terms of group types (generic vs. thematic), duration of membership and the interplay between offline and online activities. Results showed that groups differing in terms of domain (generic or thematic) are characterized by particular mechanisms of affiliation and participation and that mechanisms of legitimation of the members, aswell as of shared resources, are associated with the duration of membership. Further research should be conducted to investigate how social capital dynamics evolve over time, influencing the construction of group identity.","10.1111/j.1467-8535.2012.01356.x","-0.6125","0.2938","5","Social networking","Social networking","",""
"webcrawl____::34bd6557aee701047b00bc07da65346c","areas tension;delphi study;field technology","Identifying Areas of Tension in the field of technology-enhanced learning: Results of an international Delphi study","Plesch, Christine","2013","PERGAMON-ELSEVIER SCIENCE LTD","","","COMPUTERS & EDUCATION","","","10.1016/j.compedu.2013.01.018","0.1627","0.6511","14","Areas tension, Delphi study, Field technology","Areas tension, Delphi study, Field technology","",""
"webcrawl____::69c3059d02e436d202ca7e97f2b43d62","assembly learning;automatic assembly;learning resources","Semi-automatic assembly of learning resources","Verbert, K.","2012","PERGAMON-ELSEVIER SCIENCE LTD","","","COMPUTERS & EDUCATION","","","10.1016/j.compedu.2012.06.005","-0.1422","0.6545","15","Assembly learning, Automatic assembly, Learning resources","Assembly learning, Automatic assembly, Learning resources","",""
"webcrawl____::cd38e49e4fccfa9edb8beabc7bd9caf6","cscl designs;deploy cscl;designs distributed","Enabling Teachers to Deploy CSCL Designs across Distributed Learning Environments","Prieto, Luis P.","2013","IEEE COMPUTER SOC","","","IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES","","","10.1109/TLT.2013.22","0.6029","0.2496","13","Cscl designs, Deploy cscl, Designs distributed","Cscl designs, Deploy cscl, Designs distributed","",""
