"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","citation_count","cited_by_tweeters_count","readers.mendeley","readers","file_hash"
"10.1002/biot.201200313","fp7_health__::f70ace4753c33be688636b3753aa3f77","antimicrobial enzymes;microbial biofilms;emerging strategy","Antimicrobial enzymes: An emerging strategy to fight microbes and microbial biofilms","Thallinger, Barbara","2013-01-01","","publication","","Biotechnology Journal","","","278402","Closed Access","-0.5836","-0.3086","3","Antimicrobial enzymes, Emerging strategy, Microbial biofilms","Antimicrobial enzymes, Emerging strategy, Microbial biofilms","69",NA,NA,"",""
"10.1002/(issn)1860-7314","od_______307::eba1589e4368af524f73677b922396a8","Silk phosphorylation","Phosphorylation of silk fibroins improves the cytocompatibility of silk fibroin derived materials: a platform for the production of tuneable material","Volkov, Vadim","2014-10-01","Wiley","publication","","","","Silk fibroin demonstrates great biocompatibility and is suitable for many biomedical applications, including tissue engineering and regenerative medicine. Current research focuses on manipulating the physico-chemical properties of fibroin, and examining the effect of this manipulation on firobin's biocompatibility. Regenerated silk fibroin was modified by in vitro enzymatic phosphorylation and cast into films. Films were produced by blending, at several ratios, the phosphorylated and un-phosphorylated fibroin solutions. Fourier transform infra-red spectroscopy was used to determine the specific P–OH vibration peak, confirming the phosphorylation of the regenerated silk fibroin solution. Differential scanning calorimetry showed that phosphorylation altered the intra- and inter-molecular interactions. Further experiments demonstrated that phosphorylation can be used to tailor the hydrophylicity/hydrophobicity ratio as well as the crystalinity of silk fibroin films. Release profiling of a model drug was highly dependent on silk modification level. Cytotoxicity assays showed that exposure to lixiviates of phosphorylated films only slightly affected cellular metabolism and proliferation, although direct contact resulted in a strong direct correlation between phosphorylation level and cell proliferation. This new method for tuning silk biomaterials to obtain specific structural and biochemical features can be adapted for a wide range of applications. Phosphorylation of silk fibroins may be applied to improve the cytocompatibility of any silk-based device that is considered to be in contact with live animals or human tissues.
"10.1021/am501961b","dedup_wf_001::8686b0a1d46ca1b607174149b08c482d","Polymerization","Building an antifouling zwitterionic coating on urinary catheters using an enzymatically triggered bottom-up approach","Díaz Blanco, Carlos","2014-06-23","","publication","","","","Catheter associated urinary tract infections are common during hospitalization due to the formation of bacterial biofilms on the indwelling device. In this study, we report an innovative biotechnology-based approach for the covalent functionalization of silicone catheters with antifouling zwitterionic moieties to prevent biofilm formation. Our approach combines the potential bioactivity of a natural phenolics layer biocatalytically conjugated to sulfobetaine-acrylic residues in an enzymatically initiated surface radical polymerization with laccase. To ensure sufficient coating stability in urine, the silicone catheter is plasma-activated. In contrast to industrial chemical methods, the methacrylate-containing zwitterionic monomers are polymerized at pH 5 and 50 °C using as an initiator the phenoxy radicals solely generated by laccase on the phenolics-coated catheter surface. The coated catheters are characterized by X-ray photoelectron spectroscopy (XPS), Fourier transformed infrared (FTIR) analysis, atomic force microscopy (AFM), and colorimetrically. Contact angle and protein adsorption measurements, coupled with in vitro tests with the Gram-negative Pseudomonas aeruginosa and Gram-positive Staphylococcus aureus in static and dynamic conditions, mimicking the operational conditions to be faced by the catheters, demonstrate reduced biofilm formation by about 80% when compared to that of unmodified urinary catheters. The zwitterionic coating did not affect the viability of the human fibroblasts (BJ-5ta) over seven days, corresponding to the extended useful life of urinary catheters.
			Peer Reviewed","278402","Restricted","0.176","-0.4778","4","Urinary catheters","Urinary catheters","38",NA,NA,"",""
"10.1021/bm4018947","dedup_wf_001::a4ebfb3da9aa8f0b7b8d33740252a7f9",":Enginyeria química [Àrees temàtiques de la UPC]","Sonochemically Processed Cationic Nanocapsules: Efficient Antimicrobials with Membrane Disturbing Capacity","Fernandes, Margarida M.","2014-01-01","AMER CHEMICAL SOC","publication","","BIOMACROMOLECULES","","Bacterial-mediated diseases are a major healthcare concern worldwide due to the rapid spread of antibiotic-resistant bacteria. One strategy to manage the bacterial infections while avoiding the emergence of resistant strains implies specific targeting and disruption of bacteria membranes. This work evaluates the potential of nanostructured biopolymer derivatives, nanocapsules (NCs), to disrupt the bacteria cell walls and effectively kill planktonic microorganisms. Two biopolymers, chitosan and cellulose, were chemically modified to synthesize derivatives with improved cationic character (thiolated chitosan and aminocellulose) prior to their processing into nanocapsules via a one-step sonochemical process. The interactions of NCs, displaying an average size of around 250 nm, with bacteria membrane were evaluated using two membrane models: Langmuir monolayers and liposome bilayers composed of a l-a-phosphatidylglycerol phospholipid extracted from Escherichia coli. NCs possessed improved membrane disturbing capacity in comparison to the nonprocessed biopolymer derivatives, by drastically increasing the monolayer fluidity and inducing more than 50% leakage of a dye inserted in the bilayered liposomes. In addition, membrane disturbance was directly proportional to the NCs cationic charge. Whereas evidence showed that thiolated chitosan and aminocellulose interacted with the bacteria membrane through a “carpet model”, the NCs were found to induce larger surface defects and high local perturbance through a “detergent model”. Importantly, the degree of disruption caused by the biopolymer derivatives and NCs correlated well with the antimicrobial capacity against Escherichia coli, selectively killing bacteria cells without imparting toxicity to human fibroblasts.","278402","Restricted","-0.6219","0.1648","10",":enginyeria química [àrees temàtiques de la upc]",":enginyeria química [àrees temàtiques de la upc]","23",NA,NA,"",""
"10.1021/mp5004338","od_______307::cb13135f8181deec4e50ef199e166aef","equipment and supplies","Phosphorylated silk fibroin matrix for methotrexate release","Volkov, Vadim","2015-01-01","American Chemical Society","publication","","","","Silk-based matrix was produced for delivery of a model anticancer drug, methotrexate (MTX). The calculation of net charge of silk fibroin and MTX was performed to better understand the electrostatic interactions during matrix formation upon casting. Silk fibroin films were cast at pH 7.2 and pH 3.5. Protein kinase A was used to prepare phosphorylated silk fibroin. The phosphorylation content of matrix was controlled by mixing at specific ratios the phosphorylated and unphosphorylated solutions. In vitro release profiling data suggest that the observed interactions are mainly structural and not electrostatical. The release of MTX is facilitated by use of proteolytic enzymes and higher pHs. The elevated -sheet content and crystallinity of the acidified-cast fibroin solution seem not to favor drug retention. All the acquired data underline the prevalence of structural interactions over electrostatical interactions between methotrexate and silk fibroin.
			The authors would like to acknowledge the support, granted by European NOVO Project, Contract No. FP7-HEALTH 2011-two-stage 278402. This work was partially supported by FEDER through POFC-COMPETE and by national funds from FCT through the projects PEst-C/BIA/UI4050/2011 (CBMA). V.V. also wants to thank Dr. Claudia Botelho for her helpful discussion and comments made during the critical reading of the manuscript.","278402","Open Access","0.2966","0.5863","1","Silk fibroin","Silk fibroin","4","1","14","",""
"10.1021/pr901106m.s001","od_______307::cf31cb4d6a874f01ea6612174815dd39","materiais;keratin;para","Fosforilação como um método “verde” de diversificação funcional dos materiais fibrosos","Volkov, Vadim","2015-05-29","","publication","","","","Tese de Doutoramento em Engenharia química e Biológica.
			The need for the material diversification is typically demanded in research and industry, and it stems from the particular applications of the given material. The current work describes three successful applications of in vitro enzymatic modification of fibrous materials. The chosen materials are silk fibroin (SF) from Bombyx mori (domesticated silkworm) and human hair keratin; the modification is phosphorylation with an ATP as a source of exogenous phosphate group. Protein kinase A from bovine source was the enzyme of choice. Natural fibrous materials are known for their outstanding mechanical properties, environmental stability, biocompatibility and shape control.
			In the last decades, the knowledge on both SF and keratin has considerably increased, regarding their fine structure and molecular biology, similarly to their practical applications in the field of biotechnology. Produced through sustainable, relatively simple and cheap processes, the natural fibrous materials are one of the main raw sources for biomaterial production. Unlike many biologically derived proteins, both silk and keratin are inherently stable to environmental changes and are mechanically robust. Silk and keratin contain several functional groups on the backbone and side chains of their constituting proteins, therefore exerting an ideal components for production of different protein-derived biomaterials.
			Therefore, it was of our interest to explore the possibility of “green” treatment of SF and keratin for biomedical (SF) and cosmetic (keratin) applications. The piece of evidence, presented in this thesis, strongly support the idea of enzymatically-mediated in vitro modification of both materials. Although high enzymatic specificity, accompanied by steric hindrance, resulted in somewhat low levels of phosphorylation, it was sufficient to cause considerable structural (SF) and chemical (SF and keratin) changes. The obtained results indicate that kinases can be potentially used to diversify both fibrous material types for a wide range of applications. This is particularly important in the fields of biocompatible devices, or any implementations, designed towards a contact with living tissue.
			A diversificação de materiais é normalmente necessária na indústria e investigação, devido ás aplicações específicas de um dado material. O presente trabalho descreve três aplicações bem sucedidas de modificação enzimática in vitro de materiais fibrosos. Os materiais escolhidos são fibroína de seda (SF) de Bombyx mori (bicho-da-seda domesticado) e queratina do cabelo humano; a modificação é a fosforilação com ATP como uma fonte exógena do grupo fosfato. A proteina quinase A de origem bovina foi a enzima escolhida. Materiais fibrosos naturais são conhecidos por suas excelentes propriedades mecânicas, estabilidade ambiental, biocompatibilidade e controlo de forma.
			Nas últimas décadas, o conhecimento sobre a SF e a queratina tem aumentado consideravelmente, quer em relação à sua estrutura microscópica e sua biologia molecular, quer às suas aplicações práticas no campo da biotecnologia. Produzido através de processos sustentáveis, relativamente simples e baratos, os materiais fibrosos naturais são uma das principais fontes de matérias para a produção de biomateriais. Ao contrário de muitas proteínas derivadas biologicamente, tanto a seda e a queratina são inerentemente estáveis a mudanças ambientais e são robustas mecanicamente. A seda e a queratina contêm vários grupos funcionais sobre as cadeias principais e laterais das proteínas que as constituem, exercercendo assim componentes ideais para a produção de diferentes biomateriais derivados de proteínas.
			Portanto, era do nosso interesse explorar a possibilidade do uso de tratamentos \"verdes\" de SF e queratina para aplicações biomédicas (SF) e para o desenvolvimento de cosméticos (queratina). As evidências, apresentadas nesta tese, apoiam fortemente a ideia da possibilidade de modificação in vitro mediada enzimáticamente de ambos materiais. Embora a alta especificidade enzimática, aliada ao impedimento estérico, resultou em níveis relativamente baixos de fosforilação, estes foram suficientes para causar alterações estruturais (SF) e químicas (SF e queratina) consideráveis. Os resultados obtidos indicam que quinases podem ser potencialmente utilizadas para diversificar ambos os tipos dos materiais fibrosos utilizados em uma ampla gama de aplicações. Tal consideração é particularmente importante nas áreas de dispositivos biocompatíveis, ou qualquer implementações, concebidos para um contacto com tecidos vivos.
			European NOVO Project, contract no. FP7-HEALTH 2011-two-stage 278402.
			FEDER through POFC—COMPETE.
			FCT projects PEst-C/BIA/UI4050/2011","132853","Open Access","-0.1884","0.6313","7","Keratin, Materiais, Para","Keratin, Materiais, Para","",NA,NA,"",""
"10.1039/c4gc02221a","dedup_wf_001::ef4ff0d62896d409be3f3fdb3fceeea5","Science & Technology","Ultrasound enhanced laccase applications","Gonçalves, Idalina","2015-01-01","Royal Society of Chemistry","publication","","Green Chem.","","Laccases (EC 1.10.3.2) are copper-containing enzymes that oxidize a variety of phenolics and other aromatic compounds through a radical-catalyzed mechanism. The use of mediators acting as vehicles for electron transfer can expand the range of laccase substrates to other classes of chemical compounds. Ultrasound irradiation through a liquid medium generates reactive free radical species, promoting a local turbulence/liquid microcirculation and enhancing the mass transport process rates. Combined laccase and ultrasound processes lead to the reduction of the consumption of chemicals, energy and water, and these are presented as promising systems for reducing the environmental impact and the operational costs of conventional industrial processes.
			CottonBleach (FP7-SME-2008-2; 243529-2-cottonbleach) and NOVO (FP7-
			HealTH-2011.2.3.1-5) projects for funding.","278402","Restricted","0.7072","-0.02","8","Science & technology","Science & technology","13","1","40","",""
"10.2147/ijn.s37075","dedup_wf_001::aea65cb1f06ed36824f2447782a2dc9b","catheter","Antibacterial and antibiofilm properties of yttrium fluoride nanoparticles","Lellouche, Jonathan","2012-01-01","DOVE MEDICAL PRESS LTD","publication","","INTERNATIONAL JOURNAL OF NANOMEDICINE","file:///mnt/downloaded_dumps/dovepress/11469.pdf","Jonathan Lellouche,1,2 Alexandra Friedman,2 Aharon Gedanken,2 Ehud Banin11Biofilm Research Laboratory, The Mina and Everard Goodman Faculty of Life Sciences, 2Kanbar Laboratory for Nanomaterials, Department of Chemistry, Institute for Nanotechnology and Advanced Materials, Bar-Ilan University, Ramat-Gan, IsraelAbstract: Antibiotic resistance has prompted the search for new agents that can inhibit bacterial growth. Moreover, colonization of abiotic surfaces by microorganisms and the formation of biofilms is a major cause of infections associated with medical implants, resulting in prolonged hospitalization periods and patient mortality. In this study we describe a water-based synthesis of yttrium fluoride (YF3) nanoparticles (NPs) using sonochemistry. The sonochemical irradiation of an aqueous solution of yttrium (III) acetate tetrahydrate [Y(Ac)3 &amp;bull; (H2O)4], containing acidic HF as the fluorine ion source, yielded nanocrystalline needle-shaped YF3 particles. The obtained NPs were characterized by scanning electron microscopy and X-ray elemental analysis. NP crystallinity was confirmed by electron and powder X-ray diffractions. YF3 NPs showed antibacterial properties against two common bacterial pathogens (Escherichia coli and Staphylococcus aureus) at a &amp;micro;g/mL range. We were also able to demonstrate that antimicrobial activity was dependent on NP size. In addition, catheters were surface modified with YF3 NPs using a one-step synthesis and coating process. The coating procedure yielded a homogeneous YF3 NP layer on the catheter, as analyzed by scanning electron microscopy and energy dispersive spectroscopy. These YF3 NP-modified catheters were investigated for their ability to restrict bacterial biofilm formation. The YF3 NP-coated catheters were able to significantly reduce bacterial colonization compared to the uncoated surface. Taken together, our results highlight the potential to further develop the concept of utilizing these metal fluoride NPs as novel antimicrobial and antibiofilm agents, taking advantage of their low solubility and providing extended protection.Keywords: yttrium fluoride, nanoparticles, biofilms, antibacterial, catheter, sterile surfaces","278402","Open Access","-0.1421","-0.1061","6","Catheter","Catheter","4",NA,NA,"",""
"10.3109/10242422.2013.828711","dedup_wf_001::2de4d40b2743769fdbc94458206d7b64","biofilm reduction;catechin biofilm;catheters poly","Laccase coating of catheters with poly(catechin) for biofilm reduction","Goncalves, Idalina","2014-01-01","INFORMA HEALTHCARE","publication","","BIOCATALYSIS AND BIOTRANSFORMATION","","","278402","Closed Access","0.4369","-0.4655","11","Biofilm reduction, Catechin biofilm, Catheters poly","Biofilm reduction, Catechin biofilm, Catheters poly","5","2","9","",""
